Opened	Name	City	Market
7/23/2021	204th and Center	Omaha	Nebraska
7/23/2021	Crossroads and Redwood Rd	Saratoga Springs	Utah
7/23/2021	Lincoln Way & Clark - Ames	Ames	Iowa
7/19/2021	Bryan Rd and Veterans Pkwy	O`Fallon	Missouri\StLouis
7/17/2021	72nd and L	Omaha	Nebraska
7/17/2021	3300 Dufferin Street	Toronto	Ontario\Toronto
7/17/2021	Sullivan Road & Brent Ave.	Baton Rouge	Louisiana\BatonRouge
7/16/2021	US 93 & 4th Ave E - Polson	Polson	Montana
7/16/2021	Washington Rd & William Few Pkw	Evans	Georgia\Augusta
7/16/2021	College and Troutman	Fort Collins	Colorado\FortCollins
7/15/2021	140 Atherley Road	Orillia	Ontario\OntarioRemoteMarkets
7/15/2021	Bayshore Shopping Centre	Ottawa	Ontario\Ottawa
7/15/2021	Golden Springs & Brea Canyon	Diamond Bar	California\SanGabrielValley
7/15/2021	Rosamond & Eagle Way	Rosamond	California\KernCounty
7/13/2021	I44 & 29th Street	Oklahoma City	Oklahoma\OklahomaCity
7/12/2021	Highway 5 & Douglas Blvd	Douglasville	Georgia\Atlanta
7/12/2021	May & Memorial	Oklahoma	Oklahoma\OklahomaCity
7/8/2021	Canton, Washington & Rt 27	Canton	Massachusetts\Boston
7/7/2021	Marshfield - N Central & McMillan	Marshfield	Wisconsin\WisconsinRemoteMarkets
7/5/2021	183 & Esters	Irving	Texas\DallasFortWorth
7/3/2021	Hwy 25 & Walnut Lane	North Augusta	SouthCarolina\SouthCarolinaRemoteMarkets
7/2/2021	300 Snelling	St. Paul	Minnesota\Minneapolis
7/2/2021	Pickup - 67th St & Columbus Ave	New York	NewYork\NewYorkCity
7/2/2021	Rosemary Sq.	West Palm Beach	Florida\PalmBeachCounty
7/2/2021	Monmouth	Monmouth	Oregon\WestCentralOregon
7/2/2021	Princess Margaret Hospital	Toronto	Ontario\Toronto
7/2/2021	Perinton Sq. Mall	Fairport	NewYork\Rochester
7/1/2021	9th & J Street	Modesto	California\ModestoStockton
7/1/2021	Hwy 1 & No. 3 Rd	Abbotsford	BritishColumbia\Vancouver
7/1/2021	Orangeburg & Briggsmore	Modesto	California\ModestoStockton
7/1/2021	Newport Rd. & Town Ctr	Menifee	California\RiversideCounty
6/30/2021	Columbus St & I-80	Ottawa	Illinois\IllinoisRemoteMarkets
6/29/2021	Grand Pkwy & FM 2920	Tomball	Texas\Houston
6/28/2021	Hwy 114 & 161	Irving	Texas\DallasFortWorth
6/28/2021	I-64 & KY-32	Morehead	Kentucky\KentuckyRemoteMarkets
6/26/2021	3100 Quakerbridge Rd	Mercerville	NewJersey
6/25/2021	W. Springfield, Riverdale	West Springfield	Massachusetts\WesternMassachusetts
6/25/2021	114th S and Old Cedar Dr	South Jordan	Utah
6/25/2021	La Prairie, Blvd Taschereau	La Prairie	Quebec\Montreal
6/24/2021	2nd & Peach	El Cajon	California\SanDiego
6/24/2021	Douglas and 4 Mile	Racine	Wisconsin\WisconsinRemoteMarkets
6/24/2021	Manchester & Prairie	Inglewood	California\SouthLosAngeles
6/24/2021	Petrovitsky & 176th - Fairwood	Renton	Washington\Seattle
6/24/2021	Southfront & 580	Livermore	California\AlamedaCounty
6/23/2021	Mt. Vernon	Mt Vernon	Ohio\OhioRemoteMarkets
6/21/2021	Austin Peay and Yale	Memphis	Tennessee\Memphis
6/19/2021	Olympic Hwy. - Shelton	Shelton	Washington\WashingtonRemoteMarkets
6/18/2021	Chateauguay, Blvd Anjou	Chateauguay	Quebec\Montreal
6/17/2021	Forest Grove	Forest Grove	Oregon\OregonRemoteMarkets
6/17/2021	The Fan - Broad and Strawberry	Richmond	Virginia\Richmond
6/17/2021	Mira Mesa Blvd & Lusk	San Diego	California\SanDiego
6/16/2021	Williams Drive & Austin Ave.	Georgetown	Texas\Austin
6/15/2021	S Willow and W Jackson	Cookeville	Tennessee\TennesseeRemoteMarkets
6/14/2021	Loop 323 and Hwy 31	Tyler	Texas\RemoteMarkets
6/14/2021	Stevenson & Dirksen	Springfield	Illinois\IllinoisRemoteMarkets
6/12/2021	N 1st @ Hwy 237	San Jose	California\SantaClaraCounty
6/11/2021	Daybreak and Mountain View Corridor	South Jordan	Utah
6/11/2021	Lemont & 75th	Woodridge, IL	Illinois\Chicagoland
6/11/2021	Pickup - 9th Street Duke	Durham	NorthCarolina\RaleighDurhamChapelHill
6/7/2021	Hwy 36 & Main Street	Danville	Indiana\IndianaRemoteMarkets
6/7/2021	Hwy 80 and Hwy 63	Longview	Texas\RemoteMarkets
6/7/2021	I-35 & Texas Ave.	ROUND ROCK	Texas\Austin
6/4/2021	Hickory Hills - 95th & 76th	Hickory Hills	Illinois\Chicagoland
6/4/2021	Blue Lagoon & 57th Ave	Miami	Florida\Miami
6/4/2021	Reisterstown Shopping Center	Reisterstown	Maryland\Baltimore
6/3/2021	Golden Valley & Lost Canyon	Santa Clarita	California\SantaClarita
5/31/2021	SR-46 & Cypress	Bloomington	Indiana\Bloomington
5/28/2021	Arrow & Lone Hill	San Dimas	California\SanGabrielValley
5/28/2021	I-26 & Piney Grove	Columbia	SouthCarolina\Columbia
5/28/2021	SR 54 & Sunlake Blvd	Lutz	Florida\Tampa
5/27/2021	Blue Oaks & Woodcreek	Roseville	California\Sacramento
5/27/2021	Burr St. and Norway Ave. - Mitchell	Mitchell	SouthDakota
5/27/2021	Hwy 54 & Carrington Mill	Morrisville	NorthCarolina\RaleighDurhamChapelHill
5/26/2021	Poplar and Mendenhall	Memphis	Tennessee\Memphis
5/24/2021	US-62 & Angus Lane	Farmington	Arkansas
5/24/2021	Hampton and Wise	St Louis	Missouri\StLouis
5/24/2021	Main & Washington	Weatherford	Oklahoma\OklahomaRemoteMarketes
5/21/2021	Tradition Pkwy & Village Pkwy Dr	Port St Lucie	Florida\MartinCounty
5/21/2021	S Dixie Hwy & Belvedere	West Palm Beach	Florida\PalmBeachCounty
5/20/2021	Rimrock & Beltline	Madison	Wisconsin\Madison
5/20/2021	Mack Ave. and Hollywood Ave.	Grosse Point Woods	Michigan\Detroit
5/20/2021	Sepulveda & Vose	Van Nuys	California\LosAngelesCounty
5/19/2021	Albert Pike & Airport	Hot Springs	Arkansas
5/18/2021	59th & Broadway	New York	NewYork\NewYorkCity
5/17/2021	51st & S Harvard	Tulsa	Oklahoma\Tulsa
5/17/2021	NWC Preston & Hwy 380	Prosper	Texas\DallasFortWorth
5/17/2021	I-69 & US-67	Daleville	Indiana\IndianaRemoteMarkets
5/15/2021	Mt. Pocono, Route 940	Mt. Pocono	Pennsylvania\PennsylvaniaRemoteMarkets
5/14/2021	Aikahi Park Kailua	Kailua	Hawaii\Oahu
5/13/2021	Lemmon and Knight	Dallas	Texas\DallasFortWorth
5/13/2021	Sunrise & Sungarden	Citrus Heights	California\Sacramento
5/13/2021	I-81 & Roanoke Rd, Christiansburg	Christiansburg	Virginia\RoanokeLynchburg
5/12/2021	Miller & Camelback	Scottsdale	Arizona\Phoenix
5/11/2021	Dunnigan	Dunnigan	California\CaliforniaRemoteMarkets
5/10/2021	Fish Hatchery & Greenway	Madison	Wisconsin\Madison
5/7/2021	Broadway and Berwyn	Chicago	Illinois\Chicago
5/7/2021	Cottonwood	Chilliwack	BritishColumbia\Vancouver
5/7/2021	Golf Center & I-10	Indio	California\PalmSprings
5/7/2021	I-40 & Hendersonville Road	Asheville	NorthCarolina\Asheville
5/7/2021	Hull and Courthouse	Richmond	Virginia\Richmond
5/6/2021	E Main and N Lewis	Carbondale	Illinois\IllinoisRemoteMarkets
5/6/2021	Sainte-Agathe	Ste-Agathe-des-Monts	Quebec\QuebecRemoteMarkets
5/6/2021	Jenkins at Cedar Hills Crossing	Beaverton	Oregon\Portland
5/6/2021	South Fraser Way	Abbotsford	BritishColumbia\Vancouver
5/3/2021	Township	Calgary	Alberta\Calgary
5/3/2021	Millersville	Millersville	Maryland\Baltimore
4/30/2021	Vineland North	Vineland	NewJersey
4/30/2021	69th and Louise	Sioux Falls	SouthDakota
4/30/2021	Hwy 535 and Palm Pkwy	Orlando	Florida\Orlando
4/29/2021	5150 Innes Road	Orleans	Ontario\Ottawa
4/28/2021	Sossaman & Hampton	Mesa	Arizona\Phoenix
4/26/2021	Starbucks Reserve Naperville	Naperville	Illinois\Chicagoland
4/26/2021	Rangeline and Vandiver	Columbia	Missouri\MissouriRemoteMarkets
4/26/2021	S. Memorial & Redstone	Huntsville	Alabama\Huntsville
4/23/2021	Westborough, Rte 9	Westborough	Massachusetts\Boston
4/23/2021	I-81 & West Reservoir Rd, Woodstock	Woodstock	Virginia\VirginiaRemoteMarkets
4/23/2021	Hwy 192 & Old Lake Wilson Rd	Kissimmee	Florida\Orlando
4/22/2021	Lincoln & Magnolia	Anaheim	California\OrangeCounty
4/22/2021	Silverton	Silverton	Oregon\WestCentralOregon
4/20/2021	East Bay - University and 9th S	Provo	Utah
4/20/2021	Hwy 290 & Hwy 95	Elgin	Texas\RemoteMarkets
4/19/2021	W Republic & S Lexington	Springfield	Missouri\Springfield
4/19/2021	Karsch & Maple Valley	Farmington	Missouri\MissouriRemoteMarkets
4/16/2021	Victory & Reseda	Los Angeles	California\LosAngeles
4/16/2021	Hooksett Landing	Hooksett	NewHampshire
4/16/2021	Pelham Rd. & Wilson Dr.	Jacksonville	Alabama\AlabamaRemoteMarkets
4/14/2021	35th & Southern	Phoenix	Arizona\Phoenix
4/12/2021	Salem, Tuscan Village North	Salem	NewHampshire
4/10/2021	Hancock Ave. & Los Alamos Rd.	Murrieta	California\RiversideCounty
4/9/2021	91 Brick Blvd	Brick	NewJersey
4/9/2021	SW 312th St & SW 152nd Ave	Homestead	Florida\Miami
4/8/2021	Century & Inglewood	Inglewood	California\SouthLosAngeles
4/7/2021	91st & Glendale	Glendale	Arizona\Phoenix
4/5/2021	SR-267 & I-70	Plainfield	Indiana\Indianapolis
4/2/2021	Weir Canyon & Santa Ana Canyon	Anaheim Hills	California\OrangeCounty
4/2/2021	Hamburg, Camp Road	Hamburg	NewYork\Buffalo
4/2/2021	Courtenay Pkwy & Pioneer Rd	Merritt Island	Florida\SpaceCoast
4/1/2021	Euclid & W E St	Ontario	California\SanBernardinoCounty
4/1/2021	Farmersville and Hwy 198	Farmersville	California\CentralValley
4/1/2021	362 Lakeshore Road East	Mississauga	Ontario\PeelRegion
4/1/2021	Route 47 & Route 6 - Morris	Morris	Illinois\IllinoisRemoteMarkets
3/29/2021	US 59 & E. Houston Ave.	Marshall	Texas\RemoteMarkets
3/29/2021	Canada Rd and I-40	Lakeland	Tennessee\Memphis
3/29/2021	Gosling Rd & Mossy Oak Rd	Spring	Texas\Houston
3/27/2021	High St & Tyre Neck Rd	Portsmouth	Virginia\ChesapeakeBayRegion
3/27/2021	1309 Hershberger Road	Roanoke	Virginia\RoanokeLynchburg
3/26/2021	Millwood Ave & Butler St	Columbia	SouthCarolina\Columbia
3/26/2021	Oralabor Rd & Franklin	Ankeny	Iowa
3/26/2021	Hwy 535 & N. Poinciana Blvd	Kissimmee	Florida\Orlando
3/25/2021	500 Muskoka District Road 118	Bracebridge	Ontario\OntarioRemoteMarkets
3/25/2021	First Colonial Rd & Donna Dr.	Virginia Beach	Virginia\ChesapeakeBayRegion
3/25/2021	Cleveland Ave. SE & North St. SE	Tumwater	Washington\Olympia
3/25/2021	M-89 & River Rd	Plainwell	Michigan\Kalamazoo
3/23/2021	Totem Lake at NE 124th St	Kirkland	Washington\Seattle
3/22/2021	S. Hamilton Rd & Winchester Pike	Groveport	Ohio\Columbus
3/19/2021	163rd St & 34th Ave	North Miami Beach	Florida\Miami
3/19/2021	7800 S & 5600 W	West Jordan	Utah
3/19/2021	Broad & Tuckernuck	Richmond	Virginia\Richmond
3/19/2021	Teays Valley, WV 34	Hurricane	WestVirginia
3/18/2021	I-5 & Charter Way	Stockton	California\ModestoStockton
3/15/2021	Western & Memorial	Oklahoma City	Oklahoma\OklahomaCity
3/15/2021	S Robert and Mendota - W. St. Paul	West St. Paul	Minnesota\Minneapolis
